0x00E0;0xFFFF;0;CLS;0
0x00EE;0xFFFF;0;RET;0
0x1NNN;0xF000;1;JP $;1;0x0FFF
0x2NNN;0xF000;3;CALL $;1;0x0FFF
0x3XKK;0xF000;0;SE V[$], $;2;0x0F00;0x00FF
0x4XKK;0xF000;0;SNE V[$], $;2;0x0F00;0x00FF
0x5XY0;0xF00F;0;SE V[$], V[$];2;0x0F00;0x00F0
0x6XKK;0xF000;0;LD V[$], $;2;0x0F00;0x00FF
0x7XKK;0xF000;0;ADD V[$], $;2;0x0F00;0x00FF
0x8XY0;0xF00F;0;LD V[$], V[$];2;0x0F00;0x00F0
0x8XY1;0xF00F;0;OR V[$], V[$];2;0x0F00;0x00F0
0x8XY2;0xF00F;0;AND V[$], V[$];2;0x0F00;0x00F0
0x8XY3;0xF00F;0;XOR V[$], V[$];2;0x0F00;0x00F0
0x8XY4;0xF00F;0;ADD V[$], V[$];2;0x0F00;0x00F0
0x8XY5;0xF00F;0;SUB V[$], V[$];2;0x0F00;0x00F0
0x8XY6;0xF00F;0;SHR V[$];2;0x0F00;0x00F0
0x8XY7;0xF00F;0;SUBN V[$], V[$];2;0x0F00;0x00F0
0x8XYE;0xF00F;0;SHL V[$];2;0x0F00;0x00F0
0x9XY0;0xF00F;0;SNE V[$], V[$];2;0x0F00;0x00F0
0xANNN;0xF000;0;LD I, $;1;0x0FFF
0xBNNN;0xF000;2;JP V0, $;1;0x0FFF
0xCXKK;0xF000;0;RND V[$], $;2;0x0F00;0x00FF
0xDXYN;0xF000;0;DRW V[$], V[$], $;3;0x0F00;0x00F0;0x000F
0xEX9E;0xF0FF;0;SKP V[$];1;0x0F00
0xEXA1;0xF0FF;0;SKNP V[$];1;0x0F00
0xFX07;0xF0FF;0;LD V[$], DT;1;0x0F00
0xFX0A;0xF0FF;0;LD V[$], K;1;0x0F00
0xFX15;0xF0FF;0;LD DT, V[$];1;0x0F00
0xFX18;0xF0FF;0;LD ST, V[$];1;0x0F00
0xFX1E;0xF0FF;0;ADD I, V[$];1;0x0F00
0xFX29;0xF0FF;0;LD F, V[$];1;0x0F00
0xFX33;0xF0FF;0;LD B, V[$];1;0x0F00
0xFX55;0xF0FF;0;LD [I], V[$];1;0x0F00
0xFX65;0xF0FF;0;LD V[$], [I];1;0x0F0